# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model	Var	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER
OGLE-LMC-HB-0065	RG	05:02:33.12	-72:17:12.8	15.754	17.244	1.490	255.37500000	9106.5000	0.093	0.2934	68.30	64.30	1	-99.99	-99.99	-99.99	LMC507.21.75	-99.99
OGLE-LMC-HB-0066	RG	05:02:37.66	-69:08:41.6	14.992	16.737	1.745	532.15000000	9098.0000	0.038	0.1533	58.40	45.40	1	OSARG	LMC_SC14_24301	LMC127.3.72567	LMC510.06.51213	2MASS J05023766-6908416
OGLE-LMC-HB-0067	RG	05:02:52.67	-67:28:21.6	15.245	16.753	1.508	371.78000000	9269.4000	0.025	0.1620	64.00	60.50	1	-99.99	-99.99	LMC124.3.9903	LMC511.14.23530	-99.99
OGLE-LMC-HB-0068	RG	05:02:53.87	-69:56:53.4	15.546	17.143	1.597	315.48000000	9315.3000	0.018	0.1190	63.00	63.00	1	-99.99	-99.99	LMC120.7.39	LMC509.13.28188	-99.99
OGLE-LMC-HB-0069	RG	05:02:55.48	-68:31:42.6	16.519	18.207	1.688	178.12300000	9157.6100	0.087	0.2443	68.70	111.00	1	-99.99	-99.99	LMC126.3.58648	LMC510.23.36207	OGLE-LMC-ECL-05863
OGLE-LMC-HB-0070	MS	05:03:06.92	-70:40:39.6	14.278	14.336	0.058	27.82349000	9024.0100	0.089	0.4761	28.89	89.48	0	ECL	-99.99	LMC121.8.4297	LMC508.30.21	-99.99
OGLE-LMC-HB-0071	MS	05:03:10.35	-68:38:36.2	14.648	14.486	-0.162	6.21482700	9002.3330	0.023	0.1630	33.80	7.80	1	-99.99	LMC_SC14_61334	LMC118.6.1	LMC510.23.38	-99.99
OGLE-LMC-HB-0072	MS	05:03:17.62	-67:03:33.2	15.379	15.193	-0.186	4.57968000	9002.6270	0.019	0.3650	40.50	19.00	0	ECL	-99.99	LMC123.1.16263	LMC511.31.66	OGLE-LMC-ECL-06035
OGLE-LMC-HB-0073	RG	05:03:25.55	-71:56:42.2	16.012	17.343	1.331	202.15000000	9118.9000	0.027	0.2220	60.00	37.30	1	-99.99	-99.99	-99.99	LMC507.29.99	-99.99
OGLE-LMC-HB-0074	RG	05:03:41.43	-69:21:04.6	15.852	17.254	1.402	694.80000000	9631.8000	0.027	0.6330	65.00	87.90	1	ECL	-99.99	LMC119.7.12547	LMC509.30.34591	OGLE-LMC-ECL-06208
OGLE-LMC-HB-0075	RG	05:03:53.56	-70:40:11.0	15.265	16.896	1.631	474.31300000	9119.3400	0.121	0.4174	72.10	111.90	1	OSARG	-99.99	LMC121.8.9065	LMC508.29.20212	OGLE-LMC-ECL-06300
OGLE-LMC-HB-0076	RG	05:04:23.12	-70:22:21.9	14.697	16.000	1.303	376.77000000	9253.3000	0.021	0.4330	65.40	130.90	1	-99.99	-99.99	LMC121.6.20906	LMC509.04.28801	-99.99
OGLE-LMC-HB-0077	RG	05:04:41.81	-65:13:53.1	15.864	17.111	1.247	312.87000000	9307.7000	0.013	0.2970	49.00	19.00	0	ECL	-99.99	-99.99	LMC513.14.80	OGLE-LMC-ECL-29144
OGLE-LMC-HB-0078	RG	05:04:45.51	-69:15:08.5	13.838	15.356	1.518	661.15000000	9477.7000	0.018	0.3900	61.50	123.40	1	-99.99	LMC_SC14_216143	LMC119.7.79191	LMC510.05.21	EROS2-star lm010-0l-7392
OGLE-LMC-HB-0079	RG	05:04:46.85	-70:17:59.2	15.807	17.183	1.376	251.42700000	9028.9000	0.045	0.3740	70.50	119.10	1	-99.99	-99.99	LMC121.6.49805	LMC509.04.29161	-99.99
OGLE-LMC-HB-0080	RG	05:04:50.24	-72:01:33.5	13.871	15.260	1.389	811.80000000	9491.7000	0.052	0.4730	74.30	94.80	0	OSARG/ECL	-99.99	-99.99	LMC507.28.4	-99.99
OGLE-LMC-HB-0081	RG	05:04:50.65	-71:52:05.2	15.872	17.367	1.495	682.60000000	9010.1000	0.044	0.5330	89.50	123.10	1	-99.99	-99.99	-99.99	LMC507.28.9270	-99.99
