# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-DSCT-00041	singlemode	04:37:19.10	-68:05:53.8	20.282	20.689	0.407	0.06570954	0.00000003	7000.04538	0.379	0.473	4.138	0.000	-99.99	-99.99	LMC154.2.3268	LMC539.31.8763	-99.99	
OGLE-LMC-DSCT-00042	singlemode	04:37:27.93	-69:08:45.0	19.221	19.808	0.587	0.16127820	0.00000018	7000.14953	0.146	0.273	4.325	0.000	-99.99	-99.99	LMC149.6.1378	LMC539.06.8342	-99.99	
OGLE-LMC-DSCT-00043	singlemode	04:37:32.88	-69:57:24.9	20.209	20.689	0.480	0.08149262	0.00000009	7000.01097	0.211	0.000	-99.99	0.000	-99.99	-99.99	LMC150.7.7071	LMC538.13.8508	-99.99	
OGLE-LMC-DSCT-00045	singlemode	04:37:44.77	-67:38:56.3	19.762	20.186	0.424	0.11220360	0.00000008	7000.08158	0.256	0.327	3.886	0.000	-99.99	-99.99	LMC153.1.854	LMC540.15.874	-99.99	
OGLE-LMC-DSCT-00046	singlemode	04:37:52.62	-69:54:41.3	19.955	20.412	0.457	0.13051003	0.00000024	7000.05437	0.192	0.278	4.357	0.000	-99.99	-99.99	LMC150.7.6349	LMC538.21.1206	-99.99	
OGLE-LMC-DSCT-00047	singlemode	04:37:53.99	-68:15:36.9	20.127	20.480	0.353	0.06183005	0.00000003	7000.01424	0.333	0.425	3.460	0.273	1.259	-99.99	LMC154.1.5598	LMC539.31.1215	-99.99	
OGLE-LMC-DSCT-00048	multimode	04:38:01.58	-69:55:29.5	14.239	14.679	0.440	0.07896744	0.00000003	7000.03191	0.220	0.331	4.072	0.146	1.929	-99.99	LMC150.7.5139	LMC538.12.7290	ASASSN-V J043801.57-695529.3	
OGLE-LMC-DSCT-00049	singlemode	04:38:09.53	-70:41:41.3	19.473	19.935	0.462	0.15163503	0.00000017	7000.08514	0.187	0.175	4.698	0.000	-99.99	-99.99	LMC151.1.1107	LMC537.28.1673	-99.99	
OGLE-LMC-DSCT-00050	singlemode	04:38:19.92	-68:36:52.1	19.805	20.194	0.389	0.09885456	0.00000007	7000.04987	0.304	0.370	4.154	0.000	-99.99	-99.99	LMC148.6.1149	LMC539.22.1651	-99.99	
OGLE-LMC-DSCT-00051	singlemode	04:38:35.12	-68:46:16.5	19.861	20.330	0.469	0.09325582	0.00000006	7000.02049	0.270	0.317	3.652	0.000	-99.99	-99.99	LMC148.7.1704	LMC539.13.9269	-99.99	
