# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-T2CEP-051	RVTau	05:09:41.94	-68:51:25.0	14.562	15.362	0.800	54.4966553	0.0332627	7014.06395	0.176	0.005	-99.99	0.130	5.102	-99.99	LMC110.8.43396	LMC510.10.144	LMV810 HV5626	
OGLE-LMC-T2CEP-052	pWVir	05:09:59.34	-69:58:28.7	16.422	16.862	0.440	4.6806093	0.0001628	7000.82065	0.174	0.115	5.151	0.061	1.416	-99.99	LMC112.7.9733	LMC509.09.34357	-99.99	type II Cepheid in an eclipsing binary system (P_orb = 123.879 d)
OGLE-LMC-T2CEP-053	BLHer	05:10:53.62	-67:57:32.0	18.028	18.668	0.640	1.0429993	0.0000007	7000.41746	0.729	0.472	4.892	0.217	3.310	-99.99	LMC109.6.25013	LMC511.01.1849	-99.99	
OGLE-LMC-T2CEP-054	WVir	05:11:05.36	-70:21:38.4	16.350	17.297	0.947	9.9234052	0.0001566	7006.25125	0.233	0.146	1.302	0.056	1.751	-99.99	LMC113.6.17293	LMC502.25.33957	-99.99	
OGLE-LMC-T2CEP-055	RVTau	05:11:15.17	-67:56:00.4	14.273	15.041	0.768	40.8646636	0.0076149	7000.33713	0.418	0.234	5.523	0.062	4.979	-99.99	LMC109.6.24745	LMC511.01.42	HV2351	
OGLE-LMC-T2CEP-056	WVir	05:11:19.34	-69:34:32.3	16.718	17.662	0.944	7.2828263	0.0001703	7003.37093	0.133	0.166	0.289	0.039	0.536	-99.99	LMC112.5.75266	LMC503.16.52928	-99.99	
OGLE-LMC-T2CEP-057	WVir	05:11:21.14	-68:40:13.3	15.759	16.692	0.933	16.6223929	0.0001879	7014.09479	0.867	0.056	0.064	0.061	3.169	-99.99	LMC110.7.60635	LMC510.18.338	-99.99	
OGLE-LMC-T2CEP-058	RVTau	05:11:33.52	-68:35:53.8	15.533	16.567	1.034	21.4970503	0.0008642	7002.64672	0.883	0.187	6.126	0.038	4.965	-99.99	LMC110.6.17187	LMC510.18.209	HV13025 LMV1699	
OGLE-LMC-T2CEP-059	WVir	05:11:49.37	-70:34:11.2	15.660	16.559	0.899	16.7374101	0.0001429	7005.85977	0.866	0.077	6.222	0.054	3.350	-99.99	LMC113.7.24715	LMC502.16.17594	-99.99	
OGLE-LMC-T2CEP-060	BLHer	05:12:17.99	-70:15:04.8	18.116	18.729	0.613	1.2366047	0.0000015	7000.55925	0.591	0.271	4.521	0.073	4.250	-99.99	LMC113.4.436	LMC502.25.18144	-99.99	
