# ID	RA	Decl	I	V	V_I	pr_pl	P	tc	mstar	rstar	logg	teff	feh	distance	rp	mp	a	ideg	teq	delta	tau	t14	b	T0	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV
OGLE-TR-1036	05:11:49.35	-28:37:15.7	14.029	14.911	0.882	0.92	0.9394209706	5261.0390251796	0.759	1.2945	4.094	6758.82	-4.31	1129.83	1.649	0.4118	0.017126	71.703	2833.54	0.017127	0.0388342	0.07767	0.893	6771.6279458478	-99.99	BLG205.5.185573	BLG505.30.151683
OGLE-TR-1037	05:15:02.55	-28:20:07.3	14.706	15.982	1.276	0.86	6.5358155542	5381.589304884	1.7404	2.5083	3.88	6322.09	0.36	2385.25	0.99	41.2834	0.082907	84.397	1676.84	0.001645	0.0166792	0.2285	0.694	7041.6864556405	-99.99	BLG214.7.149338	BLG504.05.105349
OGLE-TR-1038	05:18:13.80	-27:29:09.3	13.63	14.904	1.274	1	3.769830085	5379.1641706848	0.2769	2.5289	3.074	4680.5	-3.74	1172.22	1.757	158.422	0.035727	83.235	1898.87	0.0051	0.0320099	0.40962	0.358	6069.0430762395	-99.99	-99.99	BLG504.29.128046
OGLE-TR-1039	05:19:45.75	-29:49:41.8	14.9	16.115	1.215	0.94	9.1581766025	5380.9320657286	1.5328	2.4537	3.844	6398.11	-0.11	2478.41	1.417	124.091	0.101254	84.448	1518.75	0.00352	0.0390287	0.20501	0.858	6983.6129711661	-99.99	BLG103.4.214659	BLG505.04.177094
OGLE-TR-1040	05:20:15.60	-28:49:13.1	15.394	16.719	1.325	1	19.4970578164	5277.9159570029	1.0468	0.9847	4.471	5491.53	0.48	1744.8	1.046	60.5465	0.146548	89.142	686.419	0.01192	0.0241918	0.19405	0.479	6818.1835245001	-99.99	BLG205.3.79649	BLG505.29.182284
OGLE-TR-1041	05:21:54.15	-29:30:00.4	14.996	16.394	1.398	1	3.0470705322	5377.2420136887	1.169	1.2372	4.321	8378	-1.55	1418.14	1.131	5.7633	0.043398	89.458	2157.04	0.008825	0.0122188	0.14087	0.071	6608.2585087167	-99.99	BLG102.3.50880	BLG505.12.110231
OGLE-TR-1042	05:22:28.20	-28:42:17.1	15.492	17.101	1.609	1	7.675598936	5267.8514485415	0.9254	1.5654	4.015	6006.05	-0.49	1385.37	1.686	0.414	0.074218	89.426	1330.08	0.01225	0.0267946	0.26558	0.102	6849.0248293593	-99.99	BLG205.4.9527	BLG505.29.149215
OGLE-TR-1043	05:26:05.55	-27:58:28.5	15.359	17.073	1.714	0.98	2.1965755598	5378.0690023685	1.1793	1.746	4.026	5701.96	0.47	1573.36	1.01	40.6743	0.035318	77.768	1933.24	0.003532	0.0276042	0.08618	0.922	5373.6758512487	-99.99	-99.99	BLG504.21.32
OGLE-TR-1044	05:28:44.70	-27:48:40.8	13.836	14.852	1.016	1	5.1944361652	5380.3008623486	1.1807	1.0429	4.474	5667.92	0.55	804.121	2.072	0.414	0.062047	89.573	1120.5	0.04167	0.0265904	0.15537	0.095	6408.799223063	-99.99	-99.99	BLG504.20.173413
OGLE-TR-1045	05:28:52.80	-29:13:04.2	14.73	15.75	1.02	1	2.1355651824	5262.4669693247	0.7792	1.2922	4.107	7054.85	-4.35	1851.88	2.161	0.3935	0.029869	89.779	2237.55	0.029544	0.0240076	0.16177	0.019	6071.8461734527	BUL_SC34.93527	BLG104.5.130562	BLG505.20.175158
OGLE-TR-1046	05:29:12.60	-27:36:50.5	15.245	16.751	1.506	0.96	10.6197867031	5381.1550471955	0.9632	1.5463	4.043	5410.21	-0.05	1352.14	1.78	0.414	0.093392	89.576	1061.54	0.013988	0.0310209	0.29035	0.096	7292.7166537479	-99.99	-99.99	BLG504.28.167927
OGLE-TR-1047	05:31:31.20	-27:46:06.7	15.476	16.759	1.283	1	10.2950562004	5378.3791513159	1.0207	1.3957	4.157	5836.97	-3.39	1822.89	1.582	0.414	0.093262	89.079	1088.84	0.013561	0.0273739	0.24939	0.231	6953.5227499842	-99.99	BLG223.7.98920	BLG504.20.127450
OGLE-TR-1048	05:31:49.95	-29:27:32.2	15.431	16.736	1.305	1	5.247207937	5378.6882068305	0.7967	1.0672	4.283	5376.74	-3.14	1400.29	1.358	0.3775	0.054791	89.647	1144.27	0.017106	0.0199171	0.17108	0.068	6842.6592212585	BUL_SC34.285408	BLG104.6.14293	BLG505.11.123503
OGLE-TR-1049	05:34:16.65	-27:34:26.1	14.629	16.007	1.378	1	19.1582599943	5384.2842177101	0.6123	3.4868	3.14	5226.39	-2.68	2463.92	1.17	11.7535	0.11971	86.394	1360.15	0.001189	0.0324669	0.76714	0.464	6457.14677739	-99.99	BLG223.6.168511	BLG504.28.65202
OGLE-TR-1050	05:36:55.05	-29:49:32.0	15.269	16.204	0.935	0.97	1.6114674975	5377.8446956724	0.1151	0.9332	3.559	4561.78	-3.44	898.247	1.111	6.776	0.013327	73.658	1840.75	0.014975	0.0495862	0.12596	0.864	6686.3563036444	-99.99	BLG188.5.155014	BLG505.03.80
OGLE-TR-1051	05:37:53.25	-29:16:55.4	15.324	17.065	1.741	0.97	1.0213734695	5376.6775409766	0.9121	3.9849	3.197	4621.21	-0.15	2773.8	1.409	0.4991	0.019253	79.44	3205.93	0.00132	0.0517565	0.48746	0.19	6398.0510104476	BUL_SC34.562729	BLG104.5.36099	BLG505.11.42020
OGLE-TR-1052	05:38:17.55	-29:23:01.1	14.876	16.149	1.273	0.96	6.9216408254	5377.3446211182	0.8576	7.1672	2.661	5237.57	-2.97	6036.23	3.097	301.665	0.074372	66.122	2479.31	0.001971	0.117201	0.57263	0.903	6311.7661325512	BUL_SC34.535635	BLG104.6.158057	BLG505.11.20143
OGLE-TR-1053	05:38:31.20	-28:48:24.9	14.915	15.829	0.914001	1	3.65191122	5273.7364183548	1.5103	1.6705	4.171	7450.5	-0.28	2208.34	1.693	151.978	0.054901	82.865	1981.75	0.010849	0.0407689	0.1112	0.878	6840.4063317273	-99.99	BLG205.3.149290	BLG505.28.13408
OGLE-TR-1054	05:39:56.25	-27:22:32.0	15.066	16.22	1.154	0.98	8.5826670075	5378.5366336787	1.6573	3.5927	3.547	5763.68	-2.85	3468.16	1.903	173.356	0.100214	83.948	1664.09	0.002964	0.0325182	0.38775	0.632	6983.4953640765	-99.99	-99.99	BLG504.27.222403
